Date,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Administered,Administered_Janssen,Administered_Moderna,Administered_Pfizer
2/26/2022,ND,1312500,52400,500220,759880,1063814,39494,402744,621253
2/25/2022,PW,43990,3800,28500,11690,46418,2346,35803,8191
2/25/2022,WV,3848285,160900,1534460,2152925,2632999,66373,1135697,1429239
2/25/2022,VI,145460,2800,37840,104820,139785,2260,41784,95741
2/25/2022,WI,11080645,450400,4132100,6498145,9846464,332193,3765213,5746819
2/25/2022,OH,21957755,970300,8260640,12726815,17206640,617881,6544264,10024504
2/25/2022,NY,43880845,1859300,15446600,26574945,37782918,1415510,13667391,22680596
2/25/2022,CT,8293135,338500,3193960,4760675,7278081,246634,2750380,4279849
2/25/2022,DC,1780205,69900,632280,1078025,1413893,35827,510465,866799
2/25/2022,NH,3274130,175300,1159040,1939790,2417990,112818,953840,1351250
2/25/2022,SC,9987875,449300,4127140,5411435,7257903,228052,2828639,4199053
2/25/2022,SD,1762065,88800,704100,969165,1353863,40431,529087,784212
2/25/2022,NC,20863600,917400,7855160,12091040,16097256,509607,5987105,9599612
2/25/2022,BP2,330430,16100,146720,167610,296759,14157,131438,151132
2/25/2022,IA,6227355,287700,2382620,3557035,4920453,176468,1955295,2788190
2/25/2022,MD,14993610,600900,5103200,9289510,11487843,360335,4160232,6950797
2/25/2022,RI,2493625,87600,949500,1456525,2127710,64762,809992,1251398
2/25/2022,AK,1442065,83700,558920,799445,1093812,45736,421983,625131
2/25/2022,WY,933385,48000,410440,474945,730289,28686,319096,381864
2/25/2022,MT,1877995,104200,773000,1000795,1533650,60122,645811,825654
2/25/2022,NM,4243245,186100,1655400,2401745,3761043,117321,1528517,2106818
2/25/2022,AZ,14059520,603700,5391420,8064400,11520120,361637,4539034,6594855
2/25/2022,CO,11854575,486100,4368140,7000335,10305061,337596,3992057,5966248
2/25/2022,ID,3208890,155700,1244680,1808510,2361971,85980,892124,1380605
2/25/2022,VA2,7777820,625900,3783880,3368040,7207644,254548,3715524,3237289
2/25/2022,KY,8392075,378600,3461000,4552475,6311028,233098,2595460,3480090
2/25/2022,MO,11055705,422100,4186800,6446805,8645665,248016,3125426,5269902
2/25/2022,UT,5980050,241200,2044860,3693990,5062139,182083,1770997,3108744
2/25/2022,MP,121430,3600,25020,92810,105693,1327,14494,89872
2/25/2022,ME,3187450,151900,1256020,1779530,2701374,142643,1099821,1455607
2/25/2022,AS,92810,600,21500,70710,86358,560,21083,64662
2/25/2022,PA,28765525,1504100,10922060,16339365,22063192,763484,8504968,12793295
2/25/2022,TN,12240630,505300,4669640,7065690,9583003,260458,3664188,5604150
2/25/2022,MI,20002230,928900,7882940,11190390,15197805,460793,5954330,8780561
2/25/2022,VT,1697550,71200,663680,962670,1345007,52763,524331,767033
2/25/2022,NE,3765610,149400,1327580,2288630,3078298,93312,1108394,1870538
2/25/2022,DE,2219455,96600,858600,1264255,1730608,61331,665187,1002048
2/25/2022,OK,6973030,321300,2900280,3751450,5716400,151547,2308956,3254490
2/25/2022,US,689427145,30324600,255258420,403844125,552025069,18407172,208030542,325087755
2/25/2022,PR,7270290,213900,2555360,4501030,6913065,151394,2658919,4102128
2/25/2022,NJ,20929435,943700,7497160,12488575,16519919,564132,6229575,9723813
2/25/2022,IL,26142095,1159200,9073940,15908955,21719983,672635,7693204,13325382
2/25/2022,IN,12608380,593200,4444300,7570880,9187567,302043,3317677,5538394
2/25/2022,CA,85777025,3683900,30655520,51437605,71377217,2273539,26690602,42397831
2/25/2022,NV,5666710,258100,1949500,3459110,4705478,183900,1618365,2902687
2/25/2022,MH,81280,12600,52900,15780,52349,2650,44572,5125
2/25/2022,MS,5291635,223400,2134680,2933555,3757193,91374,1510210,2153022
2/25/2022,IH2,2779595,104700,1239780,1435115,2164870,39709,1018012,1106978
2/25/2022,GU,317160,23200,84780,209180,330460,12815,105160,212329
2/25/2022,KS,5743815,254300,2196940,3292575,4428962,136492,1680581,2608022
2/25/2022,MA,16162090,608400,6125200,9428490,14251513,399810,5580065,8271198
2/25/2022,VA,18737605,772600,6607620,11357385,15857426,499080,5609785,9739445
2/25/2022,ND,1312000,52400,500120,759480,1063374,39485,402535,621031
2/25/2022,MN,11964770,500600,4237460,7226710,9887608,354021,3590143,5939363
2/25/2022,OR,9512285,460300,3572760,5479225,7430480,272200,2765194,4377837
2/25/2022,FL,45609645,2339000,16856480,26414165,36035688,1453978,13321072,21129096
2/25/2022,LA,7896790,319900,3220220,4356670,6048270,195875,2482821,3366533
2/25/2022,FM,151100,12800,86940,51360,103551,13076,73786,16664
2/25/2022,GA,20638595,816100,8036540,11785955,14335004,334192,5579601,8383098
2/25/2022,WA,16817595,746300,6076900,9994395,13829521,481042,5172663,8164871
2/25/2022,AR,5848720,251000,2444560,3153160,4083881,121652,1745422,2212935
2/25/2022,DD2,6630710,210000,2160040,4260670,7233065,319421,2398157,4492846
2/25/2022,TX,58759895,2603300,21113740,35042855,44288564,1520303,16284015,26479912
2/25/2022,AL,9245840,394900,4010660,4840280,6090785,174712,2656685,3258919
2/25/2022,HI,3316780,124400,1228620,1963760,2800494,70148,1017973,1712081
2/24/2022,CT,8282535,338400,3191460,4752675,7277732,246612,2750269,4279633
2/24/2022,MN,11948370,500600,4235060,7212710,9881179,353933,3588332,5934846
2/24/2022,UT,5969050,241200,2043560,3684290,5062117,182083,1770977,3108742
2/24/2022,DE,2215155,96500,858300,1260355,1729273,61308,664797,1001133
2/24/2022,MO,11044405,422100,4186800,6435505,8640760,247959,3123778,5266702
2/24/2022,OR,9499285,460300,3569760,5469225,7424941,272034,2763574,4374135
2/24/2022,SD,1759565,88800,703000,967765,1352959,40404,528763,783659
2/24/2022,MP,121430,3600,25020,92810,105571,1325,14469,89777
2/24/2022,KS,5730415,254300,2194240,3281875,4426448,136442,1679918,2606238
2/24/2022,AK,1436865,83700,558120,795045,1093808,45736,421980,625130
2/24/2022,PR,7267790,213900,2555060,4498830,6895718,151326,2653965,4089807
